,text_number,screen_number,sentence_number,w_in_sent_id,w_in_screen_id,deps,n_rights,n_lefts,dep_distance,word_length,surprisal_gpt,contains_punctuation,lex_freq_unk,lex_freq,PoS-Tag
7305,14,1,5,5,69,ac,0,0,1,6,0.657439113,FALSE,FALSE,144.7561238,adv
7306,14,1,5,6,70,cj,0,1,3,14,7.297743320465088,FALSE,FALSE,1.021884875,adja
7307,14,1,5,7,71,sb,0,2,-1,17,0.004464777,FALSE,FALSE,1.258962165,nn
7308,14,1,5,8,72,ROOT,5,1,0,6,5.269578934,FALSE,FALSE,239.8976931,vvfin
7309,14,1,5,9,73,mo,0,0,1,5,6.108234405517578,FALSE,FALSE,207.1646768,adv
7310,14,1,5,10,74,ng,0,0,-1,5,6.339931964874268,FALSE,FALSE,6860.935047,ptkneg
7311,14,1,5,11,75,mo,0,1,-2,3,4.633917331695557,FALSE,FALSE,2550.534721,adv
7312,14,1,5,12,76,nk,0,0,-1,3,0.047196213,FALSE,FALSE,80100.30691,art
7313,14,1,5,13,77,oa,1,2,5,5,1.1026372909545898,FALSE,FALSE,42.71478775,nn
7314,14,1,5,14,78,mnr,1,0,1,3,0.7984029054641724,FALSE,FALSE,4410.716721,appr
7315,14,1,5,15,79,nk,0,0,-1,13,0.30033019185066223,FALSE,FALSE,43.28704328,adja
7316,14,1,5,16,80,nk,0,1,2,13,4.524641036987305,TRUE,FALSE,2.787701938,nn
7317,14,1,5,17,81,cd,1,0,10,7,3.834486246109009,FALSE,FALSE,769.6918626,kon
7318,14,1,5,18,82,cj,1,0,1,3,0.6901545524597168,FALSE,FALSE,17044.4184,vafin
7319,14,1,5,19,83,mo,0,0,-1,5,0.077858612,FALSE,FALSE,230.7988302,adv
7320,14,1,5,20,84,pd,1,1,2,4,2.2092297077178955,FALSE,FALSE,17543.4334,art
7321,14,1,5,21,85,nk,0,0,-2,3,6.323178768157959,FALSE,FALSE,80100.30691,art
7322,14,1,5,22,86,nk,0,0,-1,11,2.423961639404297,FALSE,FALSE,291.114563,adja
7323,14,1,5,23,87,ag,1,2,3,6,2.0130248069763184,FALSE,FALSE,14.50259014,nn
7324,14,1,5,24,88,nk,0,0,-2,5,0.9897757172584534,FALSE,FALSE,17543.4334,art
7325,14,1,5,25,89,nk,0,0,-1,16,2.445723533630371,FALSE,FALSE,3.286381756,adja
7326,14,1,5,26,90,ag,0,2,3,13,8.230587005615234,TRUE,FALSE,3.597034758,nn
7327,14,1,6,1,91,ju,0,0,-4,4,6.3265581130981445,FALSE,FALSE,3054.511991,kon
7328,14,1,6,2,92,mo,1,0,-3,3,5.493649005889893,FALSE,FALSE,5914.865856,appr
7329,14,1,6,3,93,nk,0,0,-1,6,4.461089134216309,FALSE,FALSE,501.2713188,pwat
